Company,Job Title,Job Link,Location,Posting Date
Alation,Workday System Analyst IND-CHENNAI • Hybrid,https://alation.wd503.myworkdayjobs.com/ExternalSite/job/IND-CHENNAI/Workday-System-Analyst_R10000526,,2025-11-03
Boomi,Workday,https://boomi.com/solutions/application/workday/,,
Firebolt,,https://www.comeet.com/jobs/firebolt/26.004/data-engineer/3B.F18,,
